id,raid_id,name,date,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9,player_10,player_11,player_12,player_13,player_14,player_15,player_16,player_17,player_18,player_19,player_20,player_21,player_22,player_23,player_24,player_25,player_26,player_27,player_28,player_29,player_30,player_31,player_32,player_33,player_34,player_35,player_36,player_37,player_38,player_39,player_40,player_41,player_42,player_43,player_44,player_45
1,1,Gruul/Mag 1,7-5-2021,Brobafett,Skuzz,Slapn,Nomura,Marneus,Mmrassassin,Kraatom,Rcaniterappr,Nesingtick,Aurelian,Supervlad,Nyfelia,Murkidney,Scrotewell,Bummblaster,Starblanca,Turtlesham,Pantherk,Druidmode,Burserk,Glorpy,Yipyip,Pertis,Arcwarden,Scentsy,,,,,,,,,,,,,,,,,,,,
2,1,Gruul/Mag 2,7-8-2021,Brobafett,Nomura,Skuzz,Nxte,Kraatom,Murkidney,Zoleus,Druidmode,Marneus,Scrotewell,Rams,Curoi,Yipyip,Rcaniterappr,Scentsy,Slapn,Arcwarden,Pastafarian,Turtlesham,Ignitegiga,Palino,Nesingtick,Pantherk,Sithamenas,Pvptard,Taylorswoft,,,,,,,,,,,,,,,,,,,
